RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,DateOfBirth,OpenAccountDate,CurrentAccountNumber,CreditCardAccountNumber,Balance,BalanceDate,EstimatedSalary
493,15624170,Tan,639,France,Female,1/25/1984,1/2/2018,300000015624170,CRE00000015624170T11111,81550.94,1/1/2023,118974.77
494,15725679,Hsia,531,France,Female,1/27/1975,1/9/2016,300000015725679,CRE00000015725679T11111,0,1/1/2023,194998.34
495,15585865,Westerberg,673,France,Female,1/25/1984,1/25/2020,300000015585865,CRE00000015585865T11111,170061.92,1/1/2023,134901.34
496,15804256,Hale,765,Germany,Male,1/19/1986,1/15/2014,300000015804256,CRE00000015804256T11111,92310.54,1/1/2023,72924.56
497,15662403,Kryukova,622,France,Female,1/14/1990,1/1/2016,300000015662403,CRE00000015662403T11111,169089.38,1/1/2023,101057.95
498,15733616,Sopuluchukwu,806,France,Male,1/17/1982,1/2/2017,300000015733616,CRE00000015733616T11111,80613.93,1/1/2023,142838.64
499,15591995,Barry,757,Germany,Male,1/20/1996,1/8/2014,300000015591995,CRE00000015591995T11111,121581.56,1/1/2023,127059.04
500,15677020,Selezneva,570,France,Female,1/26/1964,1/1/2014,300000015677020,CRE00000015677020T11111,0,1/1/2023,116503.92
501,15727688,Chizuoke,555,Spain,Male,1/5/1990,1/8/2018,300000015727688,CRE00000015727688T11111,0,1/1/2023,54405.79
502,15715941,Lueck,692,France,Male,1/13/1968,1/8/2017,300000015715941,CRE00000015715941T11111,0,1/1/2023,88721.84
503,15714485,Udinese,774,France,Male,1/22/1962,1/1/2017,300000015714485,CRE00000015714485T11111,85891.55,1/1/2023,74135.48
504,15730059,Udobata,638,Spain,Male,1/11/1978,1/9/2013,300000015730059,CRE00000015730059T11111,77637.35,1/1/2023,111346.22
505,15715527,Freeman,543,Spain,Female,1/7/1981,1/17/2018,300000015715527,CRE00000015715527T11111,0,1/1/2023,194902.16
506,15576623,Outlaw,584,France,Male,1/12/1991,1/24/2017,300000015576623,CRE00000015576623T11111,0,1/1/2023,31474.27
507,15805565,Obiuto,691,Germany,Male,1/21/1992,1/8/2015,300000015805565,CRE00000015805565T11111,116927.89,1/1/2023,21198.39
508,15677307,Lo,684,Germany,Female,1/1/1982,1/23/2016,300000015677307,CRE00000015677307T11111,137326.65,1/1/2023,186976.6
509,15773890,Okechukwu,733,France,Male,1/18/2000,1/26/2017,300000015773890,CRE00000015773890T11111,0,1/1/2023,117202.19
510,15598883,King,599,Spain,Female,1/17/1985,1/21/2020,300000015598883,CRE00000015598883T11111,0,1/1/2023,143739.29
511,15568506,Forbes,524,Germany,Female,1/1/1991,1/7/2012,300000015568506,CRE00000015568506T11111,67238.98,1/1/2023,161811.23
512,15761043,Macleod,632,Germany,Female,1/20/1984,1/22/2016,300000015761043,CRE00000015761043T11111,86569.76,1/1/2023,98090.91
513,15782236,Gibbs,735,Spain,Male,1/4/1988,1/3/2017,300000015782236,CRE00000015782236T11111,0,1/1/2023,71095.41
514,15593601,Isayev,734,France,Male,1/1/1988,1/16/2016,300000015593601,CRE00000015593601T11111,133598.4,1/1/2023,13107.24
515,15682048,Pisano,605,France,Female,1/26/1971,1/20/2019,300000015682048,CRE00000015682048T11111,136188.78,1/1/2023,67110.59
516,15746902,Belstead,793,Spain,Male,1/13/1984,1/15/2013,300000015746902,CRE00000015746902T11111,0,1/1/2023,88225.02
517,15752081,Vassiliev,468,France,Female,1/6/1966,1/17/2012,300000015752081,CRE00000015752081T11111,0,1/1/2023,62256.87
518,15781307,Schneider,779,Germany,Male,1/20/1985,1/22/2015,300000015781307,CRE00000015781307T11111,120092.52,1/1/2023,135925.72
519,15775912,Mazzanti,698,France,Male,1/19/1974,1/21/2018,300000015775912,CRE00000015775912T11111,101238.24,1/1/2023,177815.87
520,15745417,Knipe,707,France,Male,1/14/1964,1/11/2016,300000015745417,CRE00000015745417T11111,89685.92,1/1/2023,126471.13
521,15671256,Macartney,850,France,Female,1/19/1987,1/25/2021,300000015671256,CRE00000015671256T11111,211774.31,1/1/2023,188574.12
522,15653547,Madukwe,850,France,Male,1/17/1966,1/4/2015,300000015653547,CRE00000015653547T11111,131317.48,1/1/2023,119175.45
523,15595766,Watts,527,Spain,Male,1/3/1985,1/12/2017,300000015595766,CRE00000015595766T11111,93722.73,1/1/2023,139093.73
524,15742358,Humphreys,696,Germany,Male,1/16/1990,1/11/2014,300000015742358,CRE00000015742358T11111,101160.99,1/1/2023,115916.55
525,15763274,Wu,661,France,Male,1/24/1974,1/8/2019,300000015763274,CRE00000015763274T11111,120320.54,1/1/2023,96463.25
526,15786063,Chin,776,France,Female,1/8/1991,1/8/2020,300000015786063,CRE00000015786063T11111,0,1/1/2023,112349.51
527,15600258,Chesnokova,701,France,Male,1/24/1979,1/3/2020,300000015600258,CRE00000015600258T11111,0,1/1/2023,165303.79
528,15573318,Kung,610,France,Male,1/14/1996,1/19/2014,300000015573318,CRE00000015573318T11111,0,1/1/2023,166031.08
529,15653849,Lu,572,Germany,Female,1/10/1974,1/14/2019,300000015653849,CRE00000015653849T11111,152827.99,1/1/2023,38411.79
530,15694272,Nkemakolam,673,France,Male,1/22/1992,1/2/2021,300000015694272,CRE00000015694272T11111,64097.75,1/1/2023,77783.35
531,15736112,Walton,519,Spain,Female,1/10/1965,1/22/2020,300000015736112,CRE00000015736112T11111,119035.35,1/1/2023,29871.79
532,15749851,Brookes,702,Spain,Female,1/6/1996,1/23/2018,300000015749851,CRE00000015749851T11111,135219.57,1/1/2023,59747.63
533,15663478,Baldwin,729,France,Male,1/2/1990,1/2/2016,300000015663478,CRE00000015663478T11111,93694.42,1/1/2023,79919.13
534,15592300,Mai,543,Spain,Male,1/18/1987,1/25/2012,300000015592300,CRE00000015592300T11111,59408.63,1/1/2023,76773.53
535,15567832,Shih,550,France,Female,1/25/1982,1/5/2015,300000015567832,CRE00000015567832T11111,114354.95,1/1/2023,54018.93
536,15776780,He,608,France,Male,1/11/1963,1/13/2021,300000015776780,CRE00000015776780T11111,0,1/1/2023,70649.64
537,15592846,Fiorentini,639,Germany,Male,1/7/1987,1/21/2012,300000015592846,CRE00000015592846T11111,128173.9,1/1/2023,59093.39
538,15739803,Lucciano,686,Spain,Male,1/25/1988,1/9/2013,300000015739803,CRE00000015739803T11111,0,1/1/2023,127569.8
539,15794142,Ferreira,564,Germany,Female,1/4/1960,1/23/2017,300000015794142,CRE00000015794142T11111,114931.35,1/1/2023,18260.98
540,15762729,Ukaegbunam,745,Germany,Female,1/7/1994,1/8/2021,300000015762729,CRE00000015762729T11111,111071.36,1/1/2023,73275.96
541,15667896,De Luca,833,France,Male,1/19/1985,1/12/2014,300000015667896,CRE00000015667896T11111,151226.18,1/1/2023,136129.49
542,15626578,Milne,622,France,Male,1/2/1996,1/12/2013,300000015626578,CRE00000015626578T11111,0,1/1/2023,153237.59
543,15776223,Davide,597,France,Female,1/14/1980,1/2/2018,300000015776223,CRE00000015776223T11111,64740.12,1/1/2023,106841.12
544,15705953,Kodilinyechukwu,721,Spain,Male,1/24/1971,1/11/2022,300000015705953,CRE00000015705953T11111,169312.13,1/1/2023,109078.35
545,15802593,Little,504,France,Female,1/15/1973,1/14/2015,300000015802593,CRE00000015802593T11111,0,1/1/2023,87822.14
546,15615457,Burns,842,Spain,Female,1/7/1978,1/18/2020,300000015615457,CRE00000015615457T11111,112652.08,1/1/2023,126644.98
547,15708916,Paterson,587,France,Male,1/16/1984,1/5/2022,300000015708916,CRE00000015708916T11111,0,1/1/2023,47414.15
548,15720187,Han,479,Germany,Female,1/17/1992,1/1/2015,300000015720187,CRE00000015720187T11111,143964.36,1/1/2023,41879.99
549,15595440,Kryukova,508,France,Male,1/26/1973,1/25/2015,300000015595440,CRE00000015595440T11111,122451.46,1/1/2023,75808.1
550,15600651,Ijendu,749,France,Male,1/21/1998,1/18/2021,300000015600651,CRE00000015600651T11111,0,1/1/2023,47911.03
551,15750141,Reichard,721,Germany,Female,1/4/1986,1/17/2019,300000015750141,CRE00000015750141T11111,65253.07,1/1/2023,28737.78
552,15657284,Day,674,Germany,Male,1/17/1975,1/25/2016,300000015657284,CRE00000015657284T11111,106901.94,1/1/2023,2079.2
553,15763063,Price,685,Spain,Female,1/17/1997,1/8/2012,300000015763063,CRE00000015763063T11111,128509.63,1/1/2023,121562.33
554,15709324,Bruce,417,France,Male,1/2/1988,1/17/2015,300000015709324,CRE00000015709324T11111,0,1/1/2023,55003.79
555,15711309,Sumrall,574,Germany,Male,1/5/1989,1/22/2019,300000015711309,CRE00000015711309T11111,129834.67,1/1/2023,193131.42
556,15775318,Lu,590,Spain,Female,1/16/1971,1/9/2019,300000015775318,CRE00000015775318T11111,154962.99,1/1/2023,191932.27
557,15705515,Lazarev,587,Germany,Male,1/11/1982,1/4/2017,300000015705515,CRE00000015705515T11111,138241.9,1/1/2023,159418.1
558,15634844,Miller,598,Germany,Male,1/3/1981,1/14/2019,300000015634844,CRE00000015634844T11111,91536.93,1/1/2023,191468.78
559,15717046,Wentworth-Shields,741,Spain,Male,1/24/1969,1/26/2019,300000015717046,CRE00000015717046T11111,0,1/1/2023,38913.68
560,15571816,Ritchie,850,Spain,Female,1/2/1952,1/19/2017,300000015571816,CRE00000015571816T11111,0,1/1/2023,705.18
561,15670080,Mackenzie,584,Germany,Female,1/14/1993,1/7/2015,300000015670080,CRE00000015670080T11111,105204.01,1/1/2023,138490.03
562,15800440,Power,650,Spain,Male,1/11/1961,1/10/2021,300000015800440,CRE00000015800440T11111,152968.73,1/1/2023,82970.69
563,15665678,Tan,607,Spain,Male,1/19/1986,1/5/2014,300000015665678,CRE00000015665678T11111,158261.68,1/1/2023,76744.72
564,15665956,Pendergrass,509,France,Female,1/17/1976,1/18/2021,300000015665956,CRE00000015665956T11111,0,1/1/2023,71244.59
565,15788126,Evans,689,Spain,Female,1/11/1984,1/8/2016,300000015788126,CRE00000015788126T11111,121021.05,1/1/2023,12182.15
566,15811773,Hsia,543,France,Male,1/26/1986,1/9/2018,300000015811773,CRE00000015811773T11111,0,1/1/2023,141210.5
567,15651674,Billson,438,Spain,Female,1/8/1968,1/19/2020,300000015651674,CRE00000015651674T11111,0,1/1/2023,191763.07
568,15689614,Teng,687,Spain,Female,1/20/1959,1/10/2021,300000015689614,CRE00000015689614T11111,137715.66,1/1/2023,37938.74
569,15795564,Moretti,737,Germany,Male,1/19/1991,1/19/2017,300000015795564,CRE00000015795564T11111,121192.22,1/1/2023,74890.58
570,15706647,Jordan,761,France,Male,1/15/1991,1/17/2015,300000015706647,CRE00000015706647T11111,0,1/1/2023,166698.18
571,15728505,Ts'ao,601,France,Male,1/3/1978,1/5/2021,300000015728505,CRE00000015728505T11111,100486.18,1/1/2023,62678.53
572,15730076,Osborne,651,France,Male,1/2/1977,1/27/2021,300000015730076,CRE00000015730076T11111,0,1/1/2023,67740.08
573,15622003,Carslaw,745,France,Male,1/20/1987,1/13/2013,300000015622003,CRE00000015622003T11111,92566.53,1/1/2023,161519.77
574,15607312,Ch'ang,648,Spain,Female,1/8/1973,1/5/2012,300000015607312,CRE00000015607312T11111,0,1/1/2023,159835.78
575,15644753,Hung,848,Spain,Male,1/2/1982,1/22/2019,300000015644753,CRE00000015644753T11111,110929.96,1/1/2023,30876.84
576,15653620,Gordon,546,France,Female,1/7/1995,1/26/2014,300000015653620,CRE00000015653620T11111,0,1/1/2023,14858.1
577,15761986,Obialo,439,Spain,Female,1/19/1990,1/20/2019,300000015761986,CRE00000015761986T11111,138901.61,1/1/2023,75685.97
578,15633922,Gray,755,France,Male,1/6/1992,1/4/2018,300000015633922,CRE00000015633922T11111,123217.66,1/1/2023,144183.1
579,15734674,Lin,593,France,Female,1/17/1981,1/12/2016,300000015734674,CRE00000015734674T11111,0,1/1/2023,65170.66
580,15658032,Hopkins,701,France,Male,1/26/1983,1/12/2020,300000015658032,CRE00000015658032T11111,0,1/1/2023,82526.92
581,15692671,Dobson,701,Spain,Male,1/23/1986,1/7/2014,300000015692671,CRE00000015692671T11111,0,1/1/2023,169161.46
582,15737741,McKay,607,Spain,Female,1/26/1989,1/1/2020,300000015737741,CRE00000015737741T11111,108431.87,1/1/2023,109291.39
583,15576352,Revell,586,Spain,Female,1/23/1965,1/14/2019,300000015576352,CRE00000015576352T11111,0,1/1/2023,6057.81
584,15753719,Rickards,547,Germany,Female,1/10/1992,1/24/2013,300000015753719,CRE00000015753719T11111,72392.41,1/1/2023,77077.14
585,15803689,Begum,647,Germany,Female,1/21/1971,1/11/2021,300000015803689,CRE00000015803689T11111,119741.77,1/1/2023,54954.51
586,15718057,Onyinyechukwuka,760,France,Female,1/21/1971,1/27/2020,300000015718057,CRE00000015718057T11111,100946.71,1/1/2023,179614.8
587,15722010,Zuyev,621,Spain,Male,1/4/1969,1/14/2013,300000015722010,CRE00000015722010T11111,170491.84,1/1/2023,35588.07
588,15680998,Nwankwo,725,France,Male,1/20/1978,1/22/2017,300000015680998,CRE00000015680998T11111,0,1/1/2023,117356.14
589,15614782,Hao,526,France,Male,1/26/1986,1/5/2021,300000015614782,CRE00000015614782T11111,0,1/1/2023,160696.72
590,15591047,Ma,519,Spain,Female,1/6/1975,1/3/2016,300000015591047,CRE00000015591047T11111,157296.02,1/1/2023,147278.43
591,15788291,Okwuadigbo,713,Germany,Female,1/22/1984,1/2/2015,300000015788291,CRE00000015788291T11111,144606.22,1/1/2023,56594.36
592,15604044,Mitchell,700,France,Male,1/17/1984,1/22/2014,300000015604044,CRE00000015604044T11111,134811.3,1/1/2023,1299.75
593,15679587,Chan,666,France,Female,1/23/1988,1/22/2013,300000015679587,CRE00000015679587T11111,115897.12,1/1/2023,25095.03
594,15775153,Buchi,630,Spain,Male,1/21/1990,1/2/2018,300000015775153,CRE00000015775153T11111,82034,1/1/2023,146326.45
595,15603925,Greco,779,Spain,Female,1/8/1996,1/21/2018,300000015603925,CRE00000015603925T11111,174318.13,1/1/2023,38296.21
596,15680970,Lombardi,611,Germany,Female,1/19/1981,1/4/2020,300000015680970,CRE00000015680970T11111,114206.84,1/1/2023,164061.6
597,15697183,Uchenna,685,Spain,Male,1/3/1979,1/4/2013,300000015697183,CRE00000015697183T11111,0,1/1/2023,107811.28
598,15567446,Coffman,646,Germany,Male,1/13/1983,1/7/2013,300000015567446,CRE00000015567446T11111,111574.41,1/1/2023,30838.51
599,15637476,Alexandrova,683,Germany,Female,1/16/1965,1/22/2017,300000015637476,CRE00000015637476T11111,162448.69,1/1/2023,9221.78
600,15714939,Fallaci,484,Germany,Female,1/2/1988,1/16/2018,300000015714939,CRE00000015714939T11111,148249.54,1/1/2023,33738.27
601,15683503,Hudson,601,France,Female,1/18/1979,1/23/2014,300000015683503,CRE00000015683503T11111,0,1/1/2023,110916.15
602,15645569,Mai,762,Spain,Female,1/13/1996,1/2/2015,300000015645569,CRE00000015645569T11111,123709.46,1/1/2023,169654.57
603,15782569,Stout,687,France,Female,1/13/1950,1/11/2013,300000015782569,CRE00000015782569T11111,0,1/1/2023,69829.4
604,15592387,Burke,566,France,Male,1/8/1992,1/14/2017,300000015592387,CRE00000015592387T11111,0,1/1/2023,54926.51
605,15609286,Chadwick,702,France,Male,1/26/1985,1/6/2012,300000015609286,CRE00000015609286T11111,150525.8,1/1/2023,94728.49
606,15814035,Lawrence,601,France,Male,1/17/1993,1/7/2013,300000015814035,CRE00000015814035T11111,0,1/1/2023,80393.27
607,15661249,Bellucci,699,France,Male,1/12/1969,1/23/2018,300000015661249,CRE00000015661249T11111,0,1/1/2023,111307.98
608,15629117,Harper,584,France,Male,1/25/1994,1/16/2012,300000015629117,CRE00000015629117T11111,0,1/1/2023,19834.32
609,15607170,Boyle,699,France,Male,1/15/1987,1/12/2017,300000015607170,CRE00000015607170T11111,0,1/1/2023,78397.24
610,15586585,Duncan,698,Germany,Female,1/13/1971,1/9/2020,300000015586585,CRE00000015586585T11111,111018.98,1/1/2023,86410.28
611,15686611,Moss,495,France,Male,1/11/1992,1/12/2012,300000015686611,CRE00000015686611T11111,129755.99,1/1/2023,172749.65
612,15603203,Avdeyeva,650,France,Female,1/10/1995,1/26/2016,300000015603203,CRE00000015603203T11111,0,1/1/2023,1002.39
613,15619857,Crawford,605,France,Female,1/5/1958,1/26/2020,300000015619857,CRE00000015619857T11111,129555.7,1/1/2023,13601.79
614,15805062,Lynton,667,Spain,Male,1/14/1984,1/15/2021,300000015805062,CRE00000015805062T11111,87202.38,1/1/2023,77866.91
615,15660271,Duncan,688,Germany,Male,1/23/1996,1/9/2014,300000015660271,CRE00000015660271T11111,146133.39,1/1/2023,175296.76
616,15745295,Gether,727,Spain,Female,1/21/1991,1/12/2022,300000015745295,CRE00000015745295T11111,0,1/1/2023,121751.04
617,15719352,Davidson,754,Spain,Male,1/18/1983,1/21/2016,300000015719352,CRE00000015719352T11111,170184.99,1/1/2023,89593.26
618,15766575,Larionova,612,Germany,Female,1/20/1960,1/22/2014,300000015766575,CRE00000015766575T11111,140745.33,1/1/2023,193437.89
619,15594594,Loggia,546,Spain,Male,1/26/1980,1/17/2015,300000015594594,CRE00000015594594T11111,139070.51,1/1/2023,86945
620,15646161,Steinhoff,673,Spain,Female,1/7/1985,1/6/2014,300000015646161,CRE00000015646161T11111,0,1/1/2023,183318.79
621,15682585,Guerra,593,France,Male,1/13/1987,1/9/2013,300000015682585,CRE00000015682585T11111,114193.24,1/1/2023,71154.1
622,15603134,Pai,656,Spain,Female,1/25/1982,1/10/2012,300000015603134,CRE00000015603134T11111,167878.5,1/1/2023,151887.16
623,15636444,Craig,535,Germany,Female,1/16/1969,1/12/2017,300000015636444,CRE00000015636444T11111,141616.55,1/1/2023,75888.65
624,15773456,Lazareva,678,Germany,Male,1/23/1986,1/6/2019,300000015773456,CRE00000015773456T11111,145747.67,1/1/2023,89566.74
625,15745307,Ch'iu,477,Spain,Female,1/7/1974,1/8/2020,300000015745307,CRE00000015745307T11111,129120.64,1/1/2023,26475.79
626,15604119,Alderete,850,Spain,Male,1/19/1987,1/26/2015,300000015604119,CRE00000015604119T11111,110349.82,1/1/2023,126355.8
627,15626900,Kung,427,France,Male,1/8/1993,1/21/2021,300000015626900,CRE00000015626900T11111,141325.56,1/1/2023,93839.3
628,15605447,Palermo,752,France,Male,1/6/1973,1/7/2020,300000015605447,CRE00000015605447T11111,78653.84,1/1/2023,7698.6
629,15589030,Ts'ai,649,France,Male,1/19/1975,1/11/2021,300000015589030,CRE00000015589030T11111,0,1/1/2023,145593.85
630,15692463,Rahman,799,Spain,Female,1/27/1994,1/5/2019,300000015692463,CRE00000015692463T11111,142253.65,1/1/2023,45042.56
631,15712403,McMillan,589,France,Female,1/8/1961,1/7/2021,300000015712403,CRE00000015712403T11111,0,1/1/2023,61108.56
632,15811762,Pickering,583,Germany,Female,1/3/1968,1/10/2016,300000015811762,CRE00000015811762T11111,115988.86,1/1/2023,57553.98
633,15718673,Mirams,839,Spain,Female,1/9/1989,1/24/2012,300000015718673,CRE00000015718673T11111,75592.43,1/1/2023,62674.42
634,15724282,Tsao,540,Germany,Male,1/20/1978,1/19/2019,300000015724282,CRE00000015724282T11111,164113.04,1/1/2023,12120.79
635,15738181,Douglas,850,France,Male,1/21/1991,1/22/2016,300000015738181,CRE00000015738181T11111,67996.23,1/1/2023,50129.87
636,15633648,Jideofor,696,Spain,Female,1/16/1971,1/3/2017,300000015633648,CRE00000015633648T11111,0,1/1/2023,55022.43
637,15603323,Bell,660,Spain,Female,1/1/1989,1/11/2021,300000015603323,CRE00000015603323T11111,0,1/1/2023,117834.91
638,15583725,Mairinger,682,France,Male,1/23/1974,1/26/2021,300000015583725,CRE00000015583725T11111,138778.15,1/1/2023,168840.23
639,15588350,McIntyre,744,France,Female,1/11/1979,1/5/2012,300000015588350,CRE00000015588350T11111,147832.15,1/1/2023,24234.11
640,15798398,Pagnotto,785,France,Female,1/8/1986,1/20/2018,300000015798398,CRE00000015798398T11111,135438.4,1/1/2023,190627.01
641,15784844,K'ung,752,Spain,Male,1/6/1974,1/15/2017,300000015784844,CRE00000015784844T11111,116060.08,1/1/2023,156618.38
642,15580684,Feng,706,France,Female,1/1/1993,1/1/2017,300000015580684,CRE00000015580684T11111,112564.62,1/1/2023,42334.38
643,15809663,Donaldson,583,France,Female,1/2/1995,1/19/2021,300000015809663,CRE00000015809663T11111,125406.58,1/1/2023,110784.42
644,15640078,Chambers,660,Germany,Female,1/13/1983,1/9/2017,300000015640078,CRE00000015640078T11111,135134.99,1/1/2023,173683
645,15698786,Marcelo,819,France,Female,1/26/1983,1/18/2013,300000015698786,CRE00000015698786T11111,133102.92,1/1/2023,27046.46
646,15569807,Ejimofor,673,France,Female,1/2/1988,1/1/2014,300000015569807,CRE00000015569807T11111,42157.08,1/1/2023,20598.59
647,15730830,Dale,752,France,Female,1/22/1992,1/25/2019,300000015730830,CRE00000015730830T11111,0,1/1/2023,104991.28
648,15805112,Pokrovsky,578,France,Male,1/5/1984,1/3/2015,300000015805112,CRE00000015805112T11111,82259.29,1/1/2023,8996.97
649,15633064,Stonebraker,438,France,Female,1/9/1986,1/6/2018,300000015633064,CRE00000015633064T11111,0,1/1/2023,64420.5
650,15703119,Liang,652,France,Male,1/24/1984,1/20/2016,300000015703119,CRE00000015703119T11111,0,1/1/2023,145700.22
651,15730447,Anderson,629,France,Female,1/25/1973,1/12/2018,300000015730447,CRE00000015730447T11111,0,1/1/2023,196335.48
652,15813850,Christian,720,France,Male,1/19/1970,1/22/2015,300000015813850,CRE00000015813850T11111,0,1/1/2023,14781.12
653,15711889,Mao,668,France,Male,1/26/1980,1/25/2019,300000015711889,CRE00000015711889T11111,150461.07,1/1/2023,108139.23
654,15664610,Campbell,459,Germany,Male,1/3/1974,1/15/2018,300000015664610,CRE00000015664610T11111,133994.52,1/1/2023,19287.06
655,15751710,Ginikanwa,729,Spain,Male,1/3/1991,1/15/2014,300000015751710,CRE00000015751710T11111,164870.81,1/1/2023,9567.39
656,15692926,Toscani,498,Germany,Male,1/11/1997,1/21/2014,300000015692926,CRE00000015692926T11111,121702.73,1/1/2023,132210.49
657,15813741,Nnachetam,549,Spain,Male,1/1/1997,1/15/2016,300000015813741,CRE00000015813741T11111,193858.2,1/1/2023,21600.11
658,15698474,Sagese,601,Germany,Female,1/15/1968,1/2/2021,300000015698474,CRE00000015698474T11111,131039.97,1/1/2023,199661.5
659,15568595,Fleming,544,France,Male,1/1/1958,1/23/2013,300000015568595,CRE00000015568595T11111,113829.45,1/1/2023,124341.49
660,15603065,Grubb,751,France,Female,1/5/1992,1/4/2016,300000015603065,CRE00000015603065T11111,0,1/1/2023,15766.1
661,15592937,Napolitani,632,Germany,Female,1/25/1981,1/7/2019,300000015592937,CRE00000015592937T11111,81877.38,1/1/2023,33642.21
662,15699637,Anenechi,694,Spain,Male,1/5/1965,1/5/2014,300000015699637,CRE00000015699637T11111,116326.07,1/1/2023,117704.65
663,15667215,Chandler,678,France,Male,1/16/1991,1/18/2020,300000015667215,CRE00000015667215T11111,0,1/1/2023,58803.28
664,15788659,Howells,695,France,Male,1/15/1976,1/25/2018,300000015788659,CRE00000015788659T11111,0,1/1/2023,137537.22
665,15763218,Akeroyd,661,France,Female,1/2/1981,1/23/2021,300000015763218,CRE00000015763218T11111,0,1/1/2023,131300.68
666,15645772,Onwumelu,661,France,Male,1/27/1989,1/18/2013,300000015645772,CRE00000015645772T11111,0,1/1/2023,84174.81
667,15725511,Wallace,559,France,Female,1/8/1991,1/13/2019,300000015725511,CRE00000015725511T11111,127070.73,1/1/2023,160941.78
668,15575024,Uwaezuoke,503,France,Male,1/8/1993,1/1/2019,300000015575024,CRE00000015575024T11111,0,1/1/2023,143954.99
669,15640825,Loyau,695,Spain,Male,1/1/1976,1/4/2019,300000015640825,CRE00000015640825T11111,122549.64,1/1/2023,56297.85
670,15662397,Small,640,France,Female,1/5/1980,1/27/2017,300000015662397,CRE00000015662397T11111,176099.13,1/1/2023,8404.73
671,15576368,Bledsoe,624,Germany,Female,1/5/1974,1/8/2019,300000015576368,CRE00000015576368T11111,122388.38,1/1/2023,30020.09
672,15674991,Kao,667,France,Male,1/9/1980,1/18/2013,300000015674991,CRE00000015674991T11111,0,1/1/2023,58137.42
673,15721024,Wickens,642,France,Male,1/3/1996,1/11/2022,300000015721024,CRE00000015721024T11111,0,1/1/2023,47472.68
674,15745621,Wertheim,640,Spain,Female,1/11/1990,1/5/2016,300000015745621,CRE00000015745621T11111,118879.35,1/1/2023,19131.71
675,15642394,He,529,Spain,Male,1/13/1987,1/13/2017,300000015642394,CRE00000015642394T11111,0,1/1/2023,187288.5
676,15754605,Jarvis,563,France,Female,1/7/1983,1/8/2017,300000015754605,CRE00000015754605T11111,0,1/1/2023,17603.81
677,15607040,P'an,593,Spain,Female,1/21/1984,1/16/2018,300000015607040,CRE00000015607040T11111,88736.44,1/1/2023,67020.03
678,15715142,Repina,739,Germany,Male,1/14/1977,1/6/2015,300000015715142,CRE00000015715142T11111,102703.62,1/1/2023,147802.94
679,15810978,Pugliesi,788,Spain,Female,1/1/1952,1/16/2021,300000015810978,CRE00000015810978T11111,0,1/1/2023,41610.62
680,15668886,Blakey,684,Spain,Female,1/10/1984,1/14/2019,300000015668886,CRE00000015668886T11111,0,1/1/2023,44255.65
681,15780804,Nucci,482,France,Male,1/2/1967,1/20/2017,300000015780804,CRE00000015780804T11111,97318.25,1/1/2023,78416.14
682,15613880,Higinbotham,591,Spain,Male,1/10/1964,1/3/2017,300000015613880,CRE00000015613880T11111,128468.69,1/1/2023,137254.55
683,15775238,Achebe,651,Germany,Female,1/5/1981,1/12/2018,300000015775238,CRE00000015775238T11111,133432.59,1/1/2023,151303.48
684,15786905,Russo,749,Germany,Female,1/6/1982,1/8/2014,300000015786905,CRE00000015786905T11111,141782.57,1/1/2023,86333.63
685,15747867,Trevisani,583,France,Male,1/26/1998,1/14/2013,300000015747867,CRE00000015747867T11111,135125.28,1/1/2023,89801.9
686,15600337,Dobie,661,Spain,Male,1/10/1980,1/15/2020,300000015600337,CRE00000015600337T11111,178820.91,1/1/2023,29358.57
687,15801277,Maccallum,715,France,Female,1/4/1991,1/16/2020,300000015801277,CRE00000015801277T11111,112212.14,1/1/2023,181600.72
688,15579334,Watkins,769,Germany,Female,1/24/1977,1/27/2017,300000015579334,CRE00000015579334T11111,126674.81,1/1/2023,124118.71
689,15802741,Mitchel,625,France,Female,1/24/1971,1/16/2015,300000015802741,CRE00000015802741T11111,136294.97,1/1/2023,38867.46
690,15720649,Ferdinand,641,France,Female,1/2/1986,1/25/2017,300000015720649,CRE00000015720649T11111,66392.64,1/1/2023,31106.67
691,15589493,Otitodilinna,716,Germany,Male,1/27/1995,1/23/2021,300000015589493,CRE00000015589493T11111,122552.34,1/1/2023,67611.36
692,15688251,Mamelu,767,France,Male,1/7/1979,1/6/2021,300000015688251,CRE00000015688251T11111,76408.85,1/1/2023,77837.63
693,15665238,Beneventi,745,Germany,Male,1/16/1986,1/18/2014,300000015665238,CRE00000015665238T11111,145071.24,1/1/2023,6078.46
694,15740900,Perrodin,589,France,Male,1/25/1988,1/4/2016,300000015740900,CRE00000015740900T11111,0,1/1/2023,177896.92
695,15681068,Chinagorom,796,France,Female,1/26/1977,1/4/2020,300000015681068,CRE00000015681068T11111,109730.22,1/1/2023,123882.73
696,15748625,Napolitano,664,France,Male,1/21/1965,1/25/2016,300000015748625,CRE00000015748625T11111,0,1/1/2023,15304.08
697,15727299,Edgar,445,Spain,Male,1/18/1960,1/25/2021,300000015727299,CRE00000015727299T11111,64119.38,1/1/2023,76569.64
698,15620204,Walker,543,Germany,Female,1/14/1965,1/11/2021,300000015620204,CRE00000015620204T11111,106138.33,1/1/2023,120657.32
